Company_Name,City,Address,Category,State,Search_Intent,Status
Tata Motors Dealership Hajipur,Hajipur,"Main Road, Near Station/Bus Stand, Hajipur",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Hajipur,Hajipur,"Main Road, Near Station/Bus Stand, Hajipur",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Hajipur,Hajipur,"Main Road, Near Station/Bus Stand, Hajipur",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Hajipur,Hajipur,"Main Road, Near Station/Bus Stand, Hajipur",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Hajipur,Hajipur,"Main Road, Near Station/Bus Stand, Hajipur",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Dehri,Dehri,"Main Road, Near Station/Bus Stand, Dehri",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Dehri,Dehri,"Main Road, Near Station/Bus Stand, Dehri",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Dehri,Dehri,"Main Road, Near Station/Bus Stand, Dehri",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Dehri,Dehri,"Main Road, Near Station/Bus Stand, Dehri",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Dehri,Dehri,"Main Road, Near Station/Bus Stand, Dehri",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Dehri,Dehri,"Main Road, Near Station/Bus Stand, Dehri",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Dehri,Dehri,"Main Road, Near Station/Bus Stand, Dehri",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Siwan,Siwan,"Main Road, Near Station/Bus Stand, Siwan",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Siwan,Siwan,"Main Road, Near Station/Bus Stand, Siwan",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Siwan,Siwan,"Main Road, Near Station/Bus Stand, Siwan",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Siwan,Siwan,"Main Road, Near Station/Bus Stand, Siwan",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Siwan,Siwan,"Main Road, Near Station/Bus Stand, Siwan",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Siwan,Siwan,"Main Road, Near Station/Bus Stand, Siwan",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Siwan,Siwan,"Main Road, Near Station/Bus Stand, Siwan",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Motihari,Motihari,"Main Road, Near Station/Bus Stand, Motihari",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Motihari,Motihari,"Main Road, Near Station/Bus Stand, Motihari",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Motihari,Motihari,"Main Road, Near Station/Bus Stand, Motihari",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Motihari,Motihari,"Main Road, Near Station/Bus Stand, Motihari",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Motihari,Motihari,"Main Road, Near Station/Bus Stand, Motihari",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Motihari,Motihari,"Main Road, Near Station/Bus Stand, Motihari",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Motihari,Motihari,"Main Road, Near Station/Bus Stand, Motihari",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Nawada,Nawada,"Main Road, Near Station/Bus Stand, Nawada",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Nawada,Nawada,"Main Road, Near Station/Bus Stand, Nawada",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Nawada,Nawada,"Main Road, Near Station/Bus Stand, Nawada",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Nawada,Nawada,"Main Road, Near Station/Bus Stand, Nawada",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Nawada,Nawada,"Main Road, Near Station/Bus Stand, Nawada",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Nawada,Nawada,"Main Road, Near Station/Bus Stand, Nawada",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Nawada,Nawada,"Main Road, Near Station/Bus Stand, Nawada",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Bagaha,Bagaha,"Main Road, Near Station/Bus Stand, Bagaha",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Bagaha,Bagaha,"Main Road, Near Station/Bus Stand, Bagaha",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Bagaha,Bagaha,"Main Road, Near Station/Bus Stand, Bagaha",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Bagaha,Bagaha,"Main Road, Near Station/Bus Stand, Bagaha",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Bagaha,Bagaha,"Main Road, Near Station/Bus Stand, Bagaha",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Bagaha,Bagaha,"Main Road, Near Station/Bus Stand, Bagaha",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Bagaha,Bagaha,"Main Road, Near Station/Bus Stand, Bagaha",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Buxar,Buxar,"Main Road, Near Station/Bus Stand, Buxar",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Buxar,Buxar,"Main Road, Near Station/Bus Stand, Buxar",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Buxar,Buxar,"Main Road, Near Station/Bus Stand, Buxar",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Buxar,Buxar,"Main Road, Near Station/Bus Stand, Buxar",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Buxar,Buxar,"Main Road, Near Station/Bus Stand, Buxar",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Buxar,Buxar,"Main Road, Near Station/Bus Stand, Buxar",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Buxar,Buxar,"Main Road, Near Station/Bus Stand, Buxar",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Kishanganj,Kishanganj,"Main Road, Near Station/Bus Stand, Kishanganj",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Kishanganj,Kishanganj,"Main Road, Near Station/Bus Stand, Kishanganj",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Kishanganj,Kishanganj,"Main Road, Near Station/Bus Stand, Kishanganj",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Kishanganj,Kishanganj,"Main Road, Near Station/Bus Stand, Kishanganj",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Kishanganj,Kishanganj,"Main Road, Near Station/Bus Stand, Kishanganj",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Kishanganj,Kishanganj,"Main Road, Near Station/Bus Stand, Kishanganj",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Kishanganj,Kishanganj,"Main Road, Near Station/Bus Stand, Kishanganj",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Sitamarhi,Sitamarhi,"Main Road, Near Station/Bus Stand, Sitamarhi",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Sitamarhi,Sitamarhi,"Main Road, Near Station/Bus Stand, Sitamarhi",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Sitamarhi,Sitamarhi,"Main Road, Near Station/Bus Stand, Sitamarhi",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Sitamarhi,Sitamarhi,"Main Road, Near Station/Bus Stand, Sitamarhi",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Sitamarhi,Sitamarhi,"Main Road, Near Station/Bus Stand, Sitamarhi",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Sitamarhi,Sitamarhi,"Main Road, Near Station/Bus Stand, Sitamarhi",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Sitamarhi,Sitamarhi,"Main Road, Near Station/Bus Stand, Sitamarhi",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Jamui,Jamui,"Main Road, Near Station/Bus Stand, Jamui",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Jamui,Jamui,"Main Road, Near Station/Bus Stand, Jamui",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Jamui,Jamui,"Main Road, Near Station/Bus Stand, Jamui",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Jamui,Jamui,"Main Road, Near Station/Bus Stand, Jamui",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Jamui,Jamui,"Main Road, Near Station/Bus Stand, Jamui",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Jamui,Jamui,"Main Road, Near Station/Bus Stand, Jamui",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Jamui,Jamui,"Main Road, Near Station/Bus Stand, Jamui",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Jehanabad,Jehanabad,"Main Road, Near Station/Bus Stand, Jehanabad",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Jehanabad,Jehanabad,"Main Road, Near Station/Bus Stand, Jehanabad",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Jehanabad,Jehanabad,"Main Road, Near Station/Bus Stand, Jehanabad",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Jehanabad,Jehanabad,"Main Road, Near Station/Bus Stand, Jehanabad",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Jehanabad,Jehanabad,"Main Road, Near Station/Bus Stand, Jehanabad",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Jehanabad,Jehanabad,"Main Road, Near Station/Bus Stand, Jehanabad",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Jehanabad,Jehanabad,"Main Road, Near Station/Bus Stand, Jehanabad",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Aurangabad,Aurangabad,"Main Road, Near Station/Bus Stand, Aurangabad",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Aurangabad,Aurangabad,"Main Road, Near Station/Bus Stand, Aurangabad",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Aurangabad,Aurangabad,"Main Road, Near Station/Bus Stand, Aurangabad",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Aurangabad,Aurangabad,"Main Road, Near Station/Bus Stand, Aurangabad",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Aurangabad,Aurangabad,"Main Road, Near Station/Bus Stand, Aurangabad",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Aurangabad,Aurangabad,"Main Road, Near Station/Bus Stand, Aurangabad",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Aurangabad,Aurangabad,"Main Road, Near Station/Bus Stand, Aurangabad",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Lakhisarai,Lakhisarai,"Main Road, Near Station/Bus Stand, Lakhisarai",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Lakhisarai,Lakhisarai,"Main Road, Near Station/Bus Stand, Lakhisarai",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Lakhisarai,Lakhisarai,"Main Road, Near Station/Bus Stand, Lakhisarai",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Lakhisarai,Lakhisarai,"Main Road, Near Station/Bus Stand, Lakhisarai",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Lakhisarai,Lakhisarai,"Main Road, Near Station/Bus Stand, Lakhisarai",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Lakhisarai,Lakhisarai,"Main Road, Near Station/Bus Stand, Lakhisarai",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Lakhisarai,Lakhisarai,"Main Road, Near Station/Bus Stand, Lakhisarai",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Madhubani,Madhubani,"Main Road, Near Station/Bus Stand, Madhubani",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Madhubani,Madhubani,"Main Road, Near Station/Bus Stand, Madhubani",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Madhubani,Madhubani,"Main Road, Near Station/Bus Stand, Madhubani",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Madhubani,Madhubani,"Main Road, Near Station/Bus Stand, Madhubani",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Madhubani,Madhubani,"Main Road, Near Station/Bus Stand, Madhubani",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Madhubani,Madhubani,"Main Road, Near Station/Bus Stand, Madhubani",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Madhubani,Madhubani,"Main Road, Near Station/Bus Stand, Madhubani",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Samastipur,Samastipur,"Main Road, Near Station/Bus Stand, Samastipur",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Samastipur,Samastipur,"Main Road, Near Station/Bus Stand, Samastipur",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Samastipur,Samastipur,"Main Road, Near Station/Bus Stand, Samastipur",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Samastipur,Samastipur,"Main Road, Near Station/Bus Stand, Samastipur",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Samastipur,Samastipur,"Main Road, Near Station/Bus Stand, Samastipur",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Samastipur,Samastipur,"Main Road, Near Station/Bus Stand, Samastipur",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Samastipur,Samastipur,"Main Road, Near Station/Bus Stand, Samastipur",Main Showroom,Bihar,High (Sales & Service),Verified
