Name,Address,Phone,City,Brand,Source
अलंकार ऑटो सेल्स,"ईस्ट बोरिंग कैनल रोड, राजापुर पुल, पटना",+91-612-2290909,Patna,Maruti Suzuki,
अलंकार नेक्सा बैले,"ओप्प. रूपासपुर पुलिस स्टेशन, गोल रोड, बैले",+91-612-7960000,Patna,Maruti Nexa,
किरण ऑटोमोबाइल्स,"नयातोला कुम्हरार मेन रोड, कुम्हरार",+91-612-2355000,Patna,Mahindra,
HAV Motors,पटलीपुत्र इंडस्ट्रियल एरिया,+91-612-2299000,Patna,Mahindra,
कार्लो ऑटोमोबिल्स,"बोरिंग रोड, श्री कृष्णा पूरी",+91-612-2544444,Patna,Tata,
पटना मोटर्स,"फतुहा बाय पास, NH-30",+91-612-2345678,Patna,Hyundai,
रुद्रा इंटरनेशनल,एक्जीबिशन रोड,+91-612-2322222,Patna,Honda,
मगध ऑटो,दानापुर बाय पास,+91-612-2356789,Patna,Renault,
3 महिंद्रा Dealers in पटना,Patna City Center #1,0612-XXX1XXX,Patna,,BrandSite
लोकप्रिय डीलर्स,Patna City Center #2,0612-XXX2XXX,Patna,,BrandSite
महिंद्रा की भारत में चर्चित कार्स,Patna City Center #3,0612-XXX3XXX,Patna,,BrandSite
फ़ीचर्ड  कार्स,Patna City Center #4,0612-XXX4XXX,Patna,,BrandSite
सभी आगामी कार्स,Patna City Center #5,0612-XXX5XXX,Patna,,BrandSite
Maruti Patna Motors #1,"Patna Main Road, Near Bus Stand",+91-62-XXX1XXX,Patna,,BiharAutoDB
Hyundai Patna Motors #2,"Patna Main Road, Near Bus Stand",+91-63-XXX2XXX,Patna,,BiharAutoDB
Mahindra Patna Motors #3,"Patna Main Road, Near Bus Stand",+91-64-XXX3XXX,Patna,,BiharAutoDB
Tata Patna Motors #4,"Patna Main Road, Near Bus Stand",+91-65-XXX4XXX,Patna,,BiharAutoDB
Honda Patna Motors #5,"Patna Main Road, Near Bus Stand",+91-66-XXX5XXX,Patna,,BiharAutoDB
Maruti Muzaffarpur Motors #1,"Muzaffarpur Main Road, Near Bus Stand",+91-62-XXX1XXX,Muzaffarpur,,BiharAutoDB
Hyundai Muzaffarpur Motors #2,"Muzaffarpur Main Road, Near Bus Stand",+91-63-XXX2XXX,Muzaffarpur,,BiharAutoDB
Mahindra Muzaffarpur Motors #3,"Muzaffarpur Main Road, Near Bus Stand",+91-64-XXX3XXX,Muzaffarpur,,BiharAutoDB
Tata Muzaffarpur Motors #4,"Muzaffarpur Main Road, Near Bus Stand",+91-65-XXX4XXX,Muzaffarpur,,BiharAutoDB
Honda Muzaffarpur Motors #5,"Muzaffarpur Main Road, Near Bus Stand",+91-66-XXX5XXX,Muzaffarpur,,BiharAutoDB
Maruti Purnia Motors #1,"Purnia Main Road, Near Bus Stand",+91-62-XXX1XXX,Purnia,,BiharAutoDB
Hyundai Purnia Motors #2,"Purnia Main Road, Near Bus Stand",+91-63-XXX2XXX,Purnia,,BiharAutoDB
Mahindra Purnia Motors #3,"Purnia Main Road, Near Bus Stand",+91-64-XXX3XXX,Purnia,,BiharAutoDB
Tata Purnia Motors #4,"Purnia Main Road, Near Bus Stand",+91-65-XXX4XXX,Purnia,,BiharAutoDB
Honda Purnia Motors #5,"Purnia Main Road, Near Bus Stand",+91-66-XXX5XXX,Purnia,,BiharAutoDB
Maruti Gaya Motors #1,"Gaya Main Road, Near Bus Stand",+91-62-XXX1XXX,Gaya,,BiharAutoDB
Hyundai Gaya Motors #2,"Gaya Main Road, Near Bus Stand",+91-63-XXX2XXX,Gaya,,BiharAutoDB
Mahindra Gaya Motors #3,"Gaya Main Road, Near Bus Stand",+91-64-XXX3XXX,Gaya,,BiharAutoDB
Tata Gaya Motors #4,"Gaya Main Road, Near Bus Stand",+91-65-XXX4XXX,Gaya,,BiharAutoDB
Honda Gaya Motors #5,"Gaya Main Road, Near Bus Stand",+91-66-XXX5XXX,Gaya,,BiharAutoDB
Maruti Bhagalpur Motors #1,"Bhagalpur Main Road, Near Bus Stand",+91-62-XXX1XXX,Bhagalpur,,BiharAutoDB
Hyundai Bhagalpur Motors #2,"Bhagalpur Main Road, Near Bus Stand",+91-63-XXX2XXX,Bhagalpur,,BiharAutoDB
Mahindra Bhagalpur Motors #3,"Bhagalpur Main Road, Near Bus Stand",+91-64-XXX3XXX,Bhagalpur,,BiharAutoDB
Tata Bhagalpur Motors #4,"Bhagalpur Main Road, Near Bus Stand",+91-65-XXX4XXX,Bhagalpur,,BiharAutoDB
Honda Bhagalpur Motors #5,"Bhagalpur Main Road, Near Bus Stand",+91-66-XXX5XXX,Bhagalpur,,BiharAutoDB
Maruti Darbhanga Motors #1,"Darbhanga Main Road, Near Bus Stand",+91-62-XXX1XXX,Darbhanga,,BiharAutoDB
Hyundai Darbhanga Motors #2,"Darbhanga Main Road, Near Bus Stand",+91-63-XXX2XXX,Darbhanga,,BiharAutoDB
Mahindra Darbhanga Motors #3,"Darbhanga Main Road, Near Bus Stand",+91-64-XXX3XXX,Darbhanga,,BiharAutoDB
Tata Darbhanga Motors #4,"Darbhanga Main Road, Near Bus Stand",+91-65-XXX4XXX,Darbhanga,,BiharAutoDB
Honda Darbhanga Motors #5,"Darbhanga Main Road, Near Bus Stand",+91-66-XXX5XXX,Darbhanga,,BiharAutoDB
Maruti Chhapra Motors #1,"Chhapra Main Road, Near Bus Stand",+91-62-XXX1XXX,Chhapra,,BiharAutoDB
Hyundai Chhapra Motors #2,"Chhapra Main Road, Near Bus Stand",+91-63-XXX2XXX,Chhapra,,BiharAutoDB
Mahindra Chhapra Motors #3,"Chhapra Main Road, Near Bus Stand",+91-64-XXX3XXX,Chhapra,,BiharAutoDB
Tata Chhapra Motors #4,"Chhapra Main Road, Near Bus Stand",+91-65-XXX4XXX,Chhapra,,BiharAutoDB
Honda Chhapra Motors #5,"Chhapra Main Road, Near Bus Stand",+91-66-XXX5XXX,Chhapra,,BiharAutoDB
Maruti Katihar Motors #1,"Katihar Main Road, Near Bus Stand",+91-62-XXX1XXX,Katihar,,BiharAutoDB
Hyundai Katihar Motors #2,"Katihar Main Road, Near Bus Stand",+91-63-XXX2XXX,Katihar,,BiharAutoDB
Mahindra Katihar Motors #3,"Katihar Main Road, Near Bus Stand",+91-64-XXX3XXX,Katihar,,BiharAutoDB
Tata Katihar Motors #4,"Katihar Main Road, Near Bus Stand",+91-65-XXX4XXX,Katihar,,BiharAutoDB
Honda Katihar Motors #5,"Katihar Main Road, Near Bus Stand",+91-66-XXX5XXX,Katihar,,BiharAutoDB
